"year","homicides","pop","rate"
"1990",139,836793,16.6110376162
"1991",177,875507,20.2168572039
"1992",162,915802,17.6894132138
"1993",185,957463,19.3218954675
"1994",195,1000304,19.4940738016
"1995",231,1044345,22.1191272999
"1996",229,1089637,21.0161732761
"1997",212,1136157,18.659393024
"1998",366,1184247,30.9057147707
"1999",396,1234705,32.0724383557
"2000",279,1287451,21.6707276626
"2001",240,1340926,17.8980793869
"2002",291,1393857,20.8773209877
"2003",302,1446423,20.8790927689
"2004",313,1499365,20.8755039633
"2005",280,1555059,18.0057476919
"2006",338,1610014,20.9936062668
"2007",245,1667501,14.692644862
"2008",908,1725498,52.6224892756
"2009",1253,1784034,65.918026226
